               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.040065,            0.033462,          0.00085779,             0.54257,             0.51101,             0.49672,             0.20537,            0.034258,            0.029369,          0.00077621,           0.0080073,           0.0080073,           0.0080073
                 139,            0.039817,            0.033821,          0.00096734,             0.54108,             0.51227,             0.49868,             0.20581,             0.03425,            0.029358,          0.00077573,           0.0079927,           0.0079927,           0.0079927
                 140,            0.039637,            0.033741,          0.00095855,             0.54239,             0.51311,             0.49905,             0.20599,            0.034243,             0.02935,          0.00077544,           0.0079782,           0.0079782,           0.0079782
                 141,            0.039877,            0.033772,          0.00090577,             0.54332,              0.5137,             0.50146,             0.20656,            0.034235,            0.029339,          0.00077452,           0.0079636,           0.0079636,           0.0079636
                 142,            0.039882,            0.034204,           0.0010417,             0.54284,             0.51806,             0.50294,             0.20651,            0.034228,             0.02933,          0.00077375,           0.0079491,           0.0079491,           0.0079491
                 143,            0.040332,             0.03438,           0.0010937,             0.54829,             0.51853,             0.50256,             0.20661,             0.03422,            0.029328,          0.00077278,           0.0079345,           0.0079345,           0.0079345
                 144,            0.039954,            0.033774,           0.0010002,             0.58978,             0.49131,             0.50364,             0.20687,            0.034211,            0.029316,           0.0007721,             0.00792,             0.00792,             0.00792
                 145,            0.039737,            0.033432,          0.00095092,             0.63035,             0.46891,             0.50424,             0.20684,            0.034205,            0.029311,          0.00077142,           0.0079055,           0.0079055,           0.0079055
                 146,            0.039766,            0.033764,           0.0010414,             0.62772,             0.47033,              0.5031,             0.20727,            0.034198,            0.029304,           0.0007726,           0.0078909,           0.0078909,           0.0078909
                 147,            0.039878,            0.034015,          0.00089852,             0.62253,             0.47274,              0.5048,             0.20753,            0.034191,            0.029295,          0.00077198,           0.0078764,           0.0078764,           0.0078764
                 148,             0.03972,            0.033699,          0.00089119,             0.62242,             0.47269,             0.50402,             0.20752,            0.034183,            0.029286,          0.00077042,           0.0078618,           0.0078618,           0.0078618
                 149,            0.039937,            0.034621,          0.00085145,             0.62232,             0.47327,             0.50514,             0.20778,            0.034174,            0.029278,          0.00076951,           0.0078473,           0.0078473,           0.0078473
                 150,            0.040054,             0.03409,          0.00093674,             0.63147,             0.46864,             0.50584,             0.20822,            0.034165,            0.029271,           0.0007683,           0.0078327,           0.0078327,           0.0078327
                 151,            0.039759,            0.033378,          0.00085685,             0.62996,             0.46574,             0.50499,             0.20797,            0.034156,             0.02926,          0.00076755,           0.0078182,           0.0078182,           0.0078182
                 152,            0.039594,            0.033919,          0.00081911,             0.62675,              0.4708,             0.50663,             0.20817,            0.034147,             0.02925,           0.0007667,           0.0078036,           0.0078036,           0.0078036
