               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.020953,           0.0038021,            0.013204,             0.64088,             0.58191,             0.60868,             0.32869,            0.019764,           0.0030401,            0.020724,             0.00872,             0.00872,             0.00872
                 114,            0.020776,           0.0037225,            0.013114,             0.68353,             0.64504,             0.68409,             0.37907,            0.018453,           0.0029777,            0.012656,           0.0087086,           0.0087086,           0.0087086
                 115,            0.020655,           0.0037538,            0.013891,             0.65579,             0.63051,             0.66548,             0.36723,            0.018896,             0.00293,            0.013981,           0.0086971,           0.0086971,           0.0086971
                 116,            0.020656,           0.0037863,            0.013128,             0.68677,              0.6569,             0.69846,             0.39089,            0.018593,           0.0028816,            0.011692,           0.0086857,           0.0086857,           0.0086857
                 117,            0.020888,           0.0038398,            0.014232,             0.66178,             0.64045,             0.66497,             0.36194,            0.019022,           0.0031369,            0.014283,           0.0086743,           0.0086743,           0.0086743
                 118,            0.021042,            0.003866,            0.015454,             0.71611,             0.58261,             0.65019,             0.35684,            0.018969,             0.00306,            0.012955,           0.0086629,           0.0086629,           0.0086629
                 119,            0.021102,           0.0038572,            0.013521,             0.66736,             0.65142,             0.66625,             0.36065,            0.019069,           0.0029752,            0.014253,           0.0086514,           0.0086514,           0.0086514
                 120,            0.020839,           0.0039367,            0.014223,             0.64262,             0.67322,             0.68237,             0.37725,            0.018565,           0.0029328,            0.012035,             0.00864,             0.00864,             0.00864
                 121,            0.020271,           0.0037776,             0.01192,             0.69069,              0.6651,             0.69955,             0.38737,             0.01832,            0.002918,            0.011749,           0.0086286,           0.0086286,           0.0086286
                 122,            0.020575,           0.0038425,             0.01196,             0.67456,             0.62071,             0.66596,             0.36071,            0.018859,           0.0031086,            0.012659,           0.0086171,           0.0086171,           0.0086171
                 123,            0.020398,           0.0037248,            0.011828,             0.67931,             0.65359,             0.69964,             0.39394,            0.018117,           0.0029615,            0.011984,           0.0086057,           0.0086057,           0.0086057
